ADM1_EN,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021
Nakhon Ratchasima,50.52631953,86.65468575,63.96333301,19.28650763,10.38282063,9.405831747,15.7935395,16.78299366,22.57230092,25.05729991,30.44903478,45.74897504,49.23634938,74.96789623,64.21153363,19.13923937,11.30452417,11.64108057,16.60900225,20.05104678,20.69179843,26.09774614,30.15926623,47.78028889,47.23108433,80.20613881,56.20712506,19.26374775,12.28231917,10.12731731,14.46010286,16.10299846,16.91152874,26.65245105,28.52436509,49.44729732,45.2154754,85.39202199,65.64164411,18.57403388,11.6621707,11.63238184,15.10129067,15.14016155,18.39526267,25.31133161,29.44772956
Nakhon Sawan,50.34221749,74.7984051,64.9196855,20.4000191,11.14807131,7.765311065,14.4166057,15.61221729,20.91923795,25.46991287,33.82710867,50.21953777,48.83439448,66.5878387,58.6872124,23.95924846,11.659383,9.449515107,14.1816654,19.548345,20.05831359,25.86505336,34.29139847,49.18523375,47.60895076,78.61027078,69.92770625,21.65623023,12.66223786,9.051568131,15.15250334,14.56278265,16.99945446,24.7513061,32.60548563,48.95300071,43.07436981,79.87042089,77.16757626,19.72686516,11.94491912,9.328720848,15.10189279,14.27769941,18.18722449,25.12328937,31.80085976
Nakhon Si Thammarat,41.34339386,56.79498786,45.72355559,16.93997243,11.55124529,12.7755702,16.65217348,19.16883464,20.9289136,25.33942171,34.81430317,51.89715215,35.90276369,73.71262227,55.39694113,17.17997863,12.21355352,11.30694301,15.84554355,22.46777364,19.36749949,26.37349016,31.63539238,50.91435105,35.27318077,68.83806519,45.02927979,17.17450471,12.75283181,10.17071429,16.07037635,18.59492595,19.08110161,26.57554018,36.47412633,57.25235071,39.54964436,54.18363195,63.97014957,16.83640635,12.62656,11.74876567,15.43429894,19.0073166,19.65375925,26.67074429,33.11974498
Nan,58.21179849,90.18750114,69.58859469,16.79630181,11.66708185,8.892655161,12.40110723,16.11623361,19.59118788,24.87316113,35.07418823,52.74847102,53.07222047,86.85470988,64.44391889,19.80188947,11.85377975,10.24683008,12.91492996,19.07489255,18.92784061,26.0976427,36.40401877,62.09363346,53.92389595,74.11068793,60.78984892,18.11742779,12.24465758,10.03146675,14.00455171,14.98839596,17.78284861,24.78314055,34.92220988,68.18683446,54.2316646,79.91896581,71.98796401,17.2661042,11.92783372,9.726819367,14.33121926,14.63044019,16.89634255,26.21235776,35.12726106
Narathiwat,47.39495699,74.08968148,61.71348275,17.21113263,12.25923256,9.929954788,16.67054759,18.83625097,20.94602176,27.96120345,39.67775889,55.39785825,42.67462305,80.27905653,60.09605179,18.04476681,12.43219658,11.81597871,16.24153827,22.09723014,19.00709505,28.58863279,37.63331227,58.41147249,45.94892125,70.41747984,58.12529546,17.0109007,12.55779183,10.28876686,16.74333232,18.18005759,19.21380021,28.0624313,42.65460944,72.17490312,44.90526222,66.0236387,68.96744263,16.67015016,12.71092224,10.19599606,16.12975447,19.24573641,19.47111445,25.3762308,39.22595488
Nong Bua Lam Phu,54.58956425,82.41619087,68.6165362,20.70834153,11.34248967,7.599819126,12.71906296,16.11110428,21.57876981,24.91853617,32.37508525,47.52434516,52.10020341,72.56615111,67.34960895,22.64988802,12.21764019,8.406507511,13.47359457,19.42498138,20.10978877,26.07912348,33.83429409,52.59507154,49.77525974,81.35203873,62.00803118,21.61584504,12.32115652,8.588693775,14.48371022,14.24861895,17.86905926,25.13853124,33.0810137,56.04171672,50.76591131,83.55925188,71.59021717,20.40213949,11.75655978,8.606810764,14.8875094,14.08009224,17.91500437,25.34354576,32.75313221
Nong Khai,52.13327719,80.17111235,71.47404788,21.26531011,11.59924414,7.709309464,12.40296803,16.16217084,21.44573539,24.61729097,31.52317557,46.8033467,49.40903798,81.22630304,69.34980493,22.81156111,12.28228705,8.530903493,12.95335658,18.76531669,20.39987178,25.217328,32.92168919,50.85776424,51.36346346,89.45752558,66.6972158,22.65414736,12.3142798,8.189748492,13.68340477,14.03237734,18.20515268,24.96135798,30.3980463,51.50278576,49.08317319,80.26511471,77.71451824,20.79725775,11.2383379,7.952317754,14.52160158,13.57641033,17.6279874,24.44708639,31.50431998
Nonthaburi,50.72963394,108.6494947,55.84484119,19.85749649,10.80393094,7.185731104,15.13246422,16.559542,20.94705138,24.67538043,35.8645761,52.07094924,43.86044896,64.93809334,46.62721562,20.78156931,11.69389648,9.358081488,14.69974659,19.73541275,20.35431695,26.94790051,34.69352397,48.96753447,45.38910598,54.51964946,44.32056173,20.94758144,12.25106288,8.97666392,15.00873196,15.01728407,17.74405383,26.50021629,34.08044287,50.18149322,43.33421887,83.71386708,68.57188404,19.1250484,11.88991446,8.951247281,14.82498004,15.11252669,18.64659443,25.0147427,33.49895617
Pathum Thani,50.33721711,116.446961,69.49426612,19.89142198,10.99107087,7.332613362,14.8696648,16.22867169,20.77401787,23.57483515,35.3017603,49.38197383,47.19945411,71.02070813,63.22031754,21.39074851,11.89739903,9.304224954,14.68900406,19.96392914,20.17575866,26.22947263,33.75401055,47.31055174,46.05305742,70.80363537,53.93826085,21.09756934,12.29371847,9.018712758,15.14315411,15.04276064,17.87029006,26.10585193,33.8050497,50.69984187,46.01035734,89.66841134,74.63618553,19.54958961,11.95128009,8.812144041,14.78101924,14.77306282,18.17974921,24.58996133,32.63524734
Pattani,36.07347064,48.56423762,41.05021756,17.85667213,11.8416702,10.02240301,16.10989442,18.65859232,20.56191853,24.99469357,35.82909338,48.12858011,31.45342516,63.43470532,47.210676,17.92778799,12.3687135,11.15664905,15.72714466,21.76335088,19.2411927,26.05560015,33.27483894,49.6205708,31.41663343,51.29364065,40.99985785,17.44527937,12.33491583,9.883551541,16.64391747,17.65778813,19.24956306,26.81852609,39.10445833,53.34166879,33.11396755,48.7849116,57.74909424,17.32133124,12.77638048,10.31093992,15.37728722,18.02793536,19.67436196,25.75441271,35.67255543
Phangnga,43.86095132,98.58926647,66.39932206,16.83175625,11.55872943,16.15987686,15.85158037,18.86062672,21.33870025,26.12666752,36.01895063,49.34686365,41.11366478,80.54456495,62.06469701,15.71695353,11.63733364,13.01010325,15.63553667,21.65590911,19.38035884,28.05522511,32.9109861,50.19434405,42.44164857,90.27550983,65.58100133,16.51299159,12.95803692,10.75894113,15.99171581,18.75079489,19.04231398,27.79813223,38.10764417,55.87976018,41.94833173,92.01016355,69.85481829,16.48455764,13.18990815,13.75319263,15.46743037,17.89028977,19.77122935,27.11959371,34.66937197
Phatthalung,40.15906253,47.02092508,45.74706384,16.93747352,11.7361435,12.09682813,16.8752636,19.46718866,21.02978211,25.86294342,34.71425283,52.29059223,33.97042349,62.59923932,53.58267927,16.92374819,12.06810888,11.15067346,16.52665455,21.94870531,19.23797485,25.83061736,31.03159027,49.25533146,31.10535775,52.53942687,40.41220234,17.07369069,12.64776936,10.48159058,15.92988444,18.56796704,19.46578684,26.48390448,37.7228052,56.00119319,36.59354444,46.96791579,58.2086105,16.6140967,12.66362404,11.8115264,15.34595272,18.61925088,19.53959543,26.09641414,32.87748282
Phayao,58.84462461,90.65248979,65.82698472,17.45108625,11.37890381,8.159225122,11.96163467,15.54491199,20.25594006,24.79461573,36.55540589,54.15048365,52.36249889,84.85124038,65.6136129,21.32402446,11.4852518,9.276996186,12.48074039,18.43570864,19.44301085,26.87908779,37.05812512,67.25198621,52.4934376,76.7120893,57.05551486,18.86758044,11.82039155,9.659574099,13.78293393,14.18448792,17.82568461,25.4531519,36.67020349,67.78589774,53.80772688,87.91808898,70.44640584,17.56136247,11.99676116,8.753543593,14.12367807,13.90496726,17.26512059,26.40080448,36.34566524
Phetchabun,51.59486142,79.33293274,63.81768227,18.50802524,11.19415024,9.300419249,13.73467378,16.49785467,21.61552382,24.40904108,31.53586453,47.87225286,50.51967396,66.27077183,60.04164624,20.11348766,11.75470548,10.94921951,13.92052702,19.63036186,20.33287856,25.35043714,32.64581952,49.92930005,47.83392145,68.24115268,62.90869216,19.07974194,12.43322905,9.825872644,14.65406579,15.5536806,17.63339927,24.65319383,30.56505792,51.37070407,46.43532963,81.10097383,73.47636423,18.33236432,11.81665146,10.68980685,14.9578982,14.93162266,18.22697262,24.40815118,29.98913594
Phetchaburi,48.96234314,79.89323639,56.34610045,17.06045474,11.09296042,12.17120461,17.14498152,18.21250585,21.28342117,26.75518633,31.63702933,51.29239221,45.85993983,72.74304565,52.28617186,18.19554413,11.54644333,12.25347512,16.78163959,20.77420073,20.1023458,28.75514693,30.79635274,50.72224087,45.72637263,73.15346014,53.46276054,17.73506839,12.39679191,11.24034482,15.70973674,17.63021146,17.30080771,28.41308277,32.03791064,50.44483514,44.12909443,70.80437169,60.05987358,16.9460107,12.13865486,13.33046958,15.4650827,16.75938108,18.17511778,28.00986637,30.67579964
Phichit,50.00689028,77.65954084,65.25478212,20.90201394,11.94625834,7.653746248,13.21938705,15.34255275,20.8450634,24.32738787,34.90059744,51.34208909,48.45018107,62.67244413,52.55529001,24.88924027,12.15038905,8.923609863,13.14994819,19.1028593,19.56375423,25.46907493,35.61451364,49.00397761,48.82234717,80.33943656,72.60651339,22.44896554,12.73763562,8.924166111,14.80831548,14.24831367,17.24841702,25.19559294,35.38922594,48.05541433,43.35089553,73.32240052,74.45443667,20.22061866,12.88642341,8.691192886,15.09257506,14.1093015,17.96192084,24.31690275,33.35468858
Phitsanulok,53.60152703,83.06984963,64.73824169,18.38830064,11.73570334,8.699573782,13.05591292,15.85219988,21.08272206,24.93164516,34.64651242,52.35724784,48.27809864,66.2706921,51.10637986,21.67691688,11.88846214,10.02700478,13.1787171,19.34565765,19.80638488,25.93975862,35.46623449,53.37233221,49.83091805,67.88322213,64.40706271,19.68062705,12.4827239,9.561568742,14.23450107,14.86618392,17.74026323,25.44992241,34.06752396,55.0001362,45.43326973,73.68288766,74.14461817,18.60509743,12.40397621,9.815516767,14.92187803,14.52286658,18.29671825,25.33569287,32.52578981
