stationID,Date_Time,Date,time,PM25,PM10,O3,CO,NO2,SO2,AQI-Level,AQI-Score
o28,15/4/2023 20:00,15/4/2023,20:00,62,-1,-1,-1,-1,-1,4,129
93t,15/4/2023 20:00,15/4/2023,20:00,39,73,46,0.27,4,0,3,55
87t,15/4/2023 20:00,15/4/2023,20:00,44,59,33,0.31,0,0,3,76
76t,15/4/2023 20:00,15/4/2023,20:00,73,105,-1,-1,-1,-1,4,157
o59,15/4/2023 20:00,15/4/2023,20:00,63,-1,-1,-1,-1,-1,4,131
81t,15/4/2023 20:00,15/4/2023,20:00,62,91,-1,-1,-1,-1,4,129
88t,15/4/2023 20:00,15/4/2023,20:00,56,85,47,0.29,8,1,4,114
47t,15/4/2023 20:00,15/4/2023,20:00,53,-1,43,0.9,75,2,4,106
89t,15/4/2023 20:00,15/4/2023,20:00,26,61,31,0.87,0,0,2,34
41t,15/4/2023 20:00,15/4/2023,20:00,70,-1,-1,-1,-1,-1,4,149
13t,15/4/2023 20:00,15/4/2023,20:00,49,71,61,0.66,17,0,3,96
22t,15/4/2023 20:00,15/4/2023,20:00,50,75,-1,-1,-1,-1,3,100
62t,15/4/2023 20:00,15/4/2023,20:00,37,60,-1,-1,-1,-1,2,50
67t,15/4/2023 20:00,15/4/2023,20:00,109,-1,-1,-1,-1,-1,5,219
75t,15/4/2023 20:00,15/4/2023,20:00,157,-1,-1,1.7,6,-1,5,267
m7,15/4/2023 20:00,15/4/2023,20:00,56,87,1,1.4,-1,-1,4,114
101t,15/4/2023 20:00,15/4/2023,20:00,45,62,70,0.18,4,0,3,100
103t,15/4/2023 20:00,15/4/2023,20:00,74,99,45,0.54,15,-1,4,159
77t,15/4/2023 20:00,15/4/2023,20:00,55,66,27,-1,-1,2,4,111
21t,15/4/2023 20:00,15/4/2023,20:00,55,-1,-1,-1,-1,-1,4,111
70t,15/4/2023 20:00,15/4/2023,20:00,132,-1,-1,-1,-1,-1,5,242
95t,15/4/2023 20:00,15/4/2023,20:00,77,117,67,0.82,13,3,4,167
86t,15/4/2023 20:00,15/4/2023,20:00,103,143,80,0.22,39,0,5,213
43t,15/4/2023 20:00,15/4/2023,20:00,43,-1,29,0.38,8,-1,3,71
102t,15/4/2023 20:00,15/4/2023,20:00,57,91,94,0.52,6,1,4,147
63t,15/4/2023 20:00,15/4/2023,20:00,36,67,38,-1,-1,-1,2,48
28t,15/4/2023 20:00,15/4/2023,20:00,52,98,51,-1,-1,4,4,104
29t,15/4/2023 20:00,15/4/2023,20:00,60,89,-1,-1,-1,-1,4,124
30t,15/4/2023 20:00,15/4/2023,20:00,64,-1,43,-1,-1,-1,4,134
31t,15/4/2023 20:00,15/4/2023,20:00,56,-1,22,0.7,4,2,4,114
74t,15/4/2023 20:00,15/4/2023,20:00,44,57,-1,-1,-1,-1,3,76
o38,15/4/2023 20:00,15/4/2023,20:00,49,-1,-1,-1,-1,-1,3,96
26t,15/4/2023 20:00,15/4/2023,20:00,69,-1,-1,-1,-1,-1,4,147
o20,15/4/2023 20:00,15/4/2023,20:00,55,-1,-1,-1,-1,-1,4,111
99t,15/4/2023 20:00,15/4/2023,20:00,74,118,70,0.76,26,2,4,159
38t,15/4/2023 20:00,15/4/2023,20:00,76,-1,-1,-1,-1,-1,4,164
39t,15/4/2023 20:00,15/4/2023,20:00,81,-1,-1,-1,-1,-1,4,177
40t,15/4/2023 20:00,15/4/2023,20:00,76,-1,-1,-1,-1,-1,4,164
68t,15/4/2023 20:00,15/4/2023,20:00,93,128,13,0.7,1,2,5,203
o33,15/4/2023 20:00,15/4/2023,20:00,113,145,-1,-1,-1,-1,5,223
o22,15/4/2023 20:00,15/4/2023,20:00,48,-1,-1,-1,-1,-1,3,92
90t,15/4/2023 20:00,15/4/2023,20:00,48,71,49,0.72,12,1,3,92
44t,15/4/2023 20:00,15/4/2023,20:00,39,65,27,0.03,14,-1,3,55
80t,15/4/2023 20:00,15/4/2023,20:00,35,-1,-1,-1,-1,-1,2,46
08t,15/4/2023 20:00,15/4/2023,20:00,56,-1,-1,-1,1,-1,4,114
16t,15/4/2023 20:00,15/4/2023,20:00,55,78,41,0.2,-1,0,4,111
17t,15/4/2023 20:00,15/4/2023,20:00,50,63,-1,1.47,-1,-1,3,100
18t,15/4/2023 20:00,15/4/2023,20:00,62,-1,28,0.22,1,-1,4,129
19t,15/4/2023 20:00,15/4/2023,20:00,43,86,-1,-1,-1,-1,3,71
84t,15/4/2023 20:00,15/4/2023,20:00,50,71,43,0.7,4,-1,3,100
27t,15/4/2023 20:00,15/4/2023,20:00,51,73,18,-1,-1,-1,4,101
24t,15/4/2023 20:00,15/4/2023,20:00,50,88,-1,1.47,10,0,3,100
25t,15/4/2023 20:00,15/4/2023,20:00,52,83,-1,-1,11,-1,4,104
71t,15/4/2023 20:00,15/4/2023,20:00,36,64,46,0.37,24,0,2,48
85t,15/4/2023 20:00,15/4/2023,20:00,80,118,55,0.72,7,2,4,175
96t,15/4/2023 20:00,15/4/2023,20:00,82,122,78,0.27,12,0,4,180
82t,15/4/2023 20:00,15/4/2023,20:00,96,134,65,0.58,5,1,5,206
91t,15/4/2023 20:00,15/4/2023,20:00,62,86,62,0.54,15,1,4,129
92t,15/4/2023 20:00,15/4/2023,20:00,73,107,69,1.37,72,0,4,157
98t,15/4/2023 20:00,15/4/2023,20:00,86,117,60,1.04,34,3,4,190
83t,15/4/2023 20:00,15/4/2023,20:00,61,92,62,0.42,-1,-1,4,126
o66,15/4/2023 20:00,15/4/2023,20:00,79,107,-1,-1,-1,-1,4,172
57t,15/4/2023 20:00,15/4/2023,20:00,163,186,93,-1,-1,-1,5,273
73t,15/4/2023 20:00,15/4/2023,20:00,237,312,73,1.97,-1,1,5,347
35t,15/4/2023 20:00,15/4/2023,20:00,110,-1,-1,-1,-1,-1,5,220
36t,15/4/2023 20:00,15/4/2023,20:00,118,138,-1,-1,-1,-1,5,228
o30,15/4/2023 20:00,15/4/2023,20:00,86,120,-1,-1,-1,-1,4,190
o31,15/4/2023 20:00,15/4/2023,20:00,167,212,-1,-1,-1,-1,5,277
