,Predicted_PM2.5,PM2.5_station,month
2019-01-11 10:00:00,63.99205363013699,55.375,1
2019-01-11 11:00:00,60.28349547945204,50.297872340425535,1
2019-01-11 12:00:00,57.21926520547946,47.32608695652174,1
2019-01-11 13:00:00,52.44037890410959,46.044444444444444,1
2019-01-11 14:00:00,50.344726164383566,41.95652173913044,1
2019-01-11 15:00:00,47.76955713698631,39.61702127659574,1
2019-01-11 16:00:00,50.27940683561644,39.12765957446808,1
2019-01-12 09:00:00,62.30998279452056,50.28260869565217,1
2019-01-12 10:00:00,54.05716878082191,47.91111111111111,1
2019-01-12 11:00:00,53.77453761643835,45.73913043478261,1
2019-01-12 12:00:00,56.08392591780822,44.46808510638298,1
2019-01-12 13:00:00,52.56157489041096,40.28260869565217,1
2019-01-12 14:00:00,49.15321695890411,34.93617021276596,1
2019-01-12 15:00:00,43.93908483561644,33.787234042553195,1
2019-01-12 16:00:00,46.4238924109589,33.833333333333336,1
2019-01-13 09:00:00,58.74706967123288,63.08510638297872,1
2019-01-13 10:00:00,54.73940468493151,60.212765957446805,1
2019-01-13 11:00:00,53.43120287671233,51.608695652173914,1
2019-01-13 12:00:00,48.58933234246576,41.869565217391305,1
2019-01-13 13:00:00,46.22291149315068,35.787234042553195,1
2019-01-13 14:00:00,41.610781945205474,32.61702127659574,1
2019-01-13 15:00:00,38.74488453424657,28.08695652173913,1
2019-01-13 16:00:00,38.73890504109588,27.282608695652176,1
2019-01-14 09:00:00,51.39975054794521,58.57446808510638,1
2019-01-14 10:00:00,48.76471564383562,57.297872340425535,1
2019-01-14 11:00:00,45.58481832876712,52.4,1
2019-01-14 12:00:00,47.58654435616438,46.361702127659576,1
2019-01-14 13:00:00,41.7729455890411,41.765957446808514,1
2019-01-14 14:00:00,42.89578561643836,37.255319148936174,1
2019-01-14 15:00:00,41.54740526027397,35.659574468085104,1
2019-01-14 16:00:00,41.18444221917808,35.391304347826086,1
2019-01-15 09:00:00,55.9915132739726,46.15555555555556,1
2019-01-15 10:00:00,55.049181383561645,42.13636363636363,1
2019-01-15 11:00:00,52.59501139726027,40.71111111111111,1
2019-01-15 12:00:00,52.49618528767123,39.43478260869565,1
2019-01-15 13:00:00,50.411202506849314,38.044444444444444,1
2019-01-15 14:00:00,50.99714468493151,36.77777777777778,1
2019-01-15 15:00:00,47.02374991780822,37.13333333333333,1
2019-01-15 16:00:00,47.59351093150685,34.95652173913044,1
2019-01-18 09:00:00,50.01030067123288,28.27659574468085,1
2019-01-18 10:00:00,53.52663812328767,27.93617021276596,1
2019-01-18 11:00:00,46.12250004109589,26.106382978723403,1
2019-01-18 12:00:00,50.75151028767123,24.404255319148938,1
2019-01-18 13:00:00,48.47922732876712,21.829787234042552,1
2019-01-18 14:00:00,50.17679891780823,20.914893617021278,1
2019-01-18 15:00:00,45.58402504109589,21.106382978723403,1
2019-01-18 16:00:00,48.14881301369863,21.847826086956523,1
2019-01-19 09:00:00,50.57277345205479,44.08695652173913,1
2019-01-19 10:00:00,50.552592958904114,45.08695652173913,1
2019-01-19 11:00:00,47.95988542465754,41.15217391304348,1
2019-01-19 12:00:00,48.063994410958905,34.84782608695652,1
2019-01-19 13:00:00,43.45730193150685,31.891304347826086,1
2019-01-19 14:00:00,41.66741873972603,29.377777777777776,1
2019-01-19 15:00:00,42.90494361643836,30.31111111111111,1
2019-01-19 16:00:00,42.39848730958904,32.17777777777778,1
2019-01-21 09:00:00,52.21215683561644,61.787234042553195,1
2019-01-21 10:00:00,51.05733419178082,65.91304347826087,1
2019-01-21 11:00:00,49.275878410958896,58.369565217391305,1
2019-01-21 12:00:00,47.34351605479452,51.680851063829785,1
2019-01-21 13:00:00,48.75278908219179,46.91489361702128,1
2019-01-21 14:00:00,47.999772164383565,42.43478260869565,1
2019-01-21 15:00:00,44.79818465753424,39.44444444444444,1
2019-01-21 16:00:00,42.52148267123288,39.26086956521739,1
2019-01-22 09:00:00,51.45950660273974,50.97872340425532,1
2019-01-22 10:00:00,48.451918739726025,47.234042553191486,1
2019-01-22 11:00:00,46.389448547945214,40.208333333333336,1
2019-01-22 12:00:00,39.92291790410959,32.25,1
2019-01-22 13:00:00,39.792889671232885,27.29787234042553,1
2019-01-22 14:00:00,39.31376106849315,26.1875,1
2019-01-22 15:00:00,39.11483593150685,27.70212765957447,1
